iter	Passed	Remaining
0	8	846
1	15	767
2	21	693
3	27	671
4	30	582
5	37	585
6	43	577
7	49	565
8	56	573
9	62	565
10	70	570
11	77	566
12	85	571
13	92	567
14	98	559
15	106	556
16	112	550
17	118	542
18	121	516
19	126	507
20	132	499
21	138	491
22	144	482
23	149	474
24	156	468
25	162	462
26	164	443
27	174	447
28	180	442
29	198	462
30	201	449
31	207	441
32	214	434
33	220	427
34	226	421
35	232	413
36	239	408
37	245	401
38	252	394
39	258	388
40	265	381
41	271	375
42	277	368
43	284	362
44	290	355
45	296	348
46	303	341
47	309	334
48	314	327
49	320	320
50	326	313
51	332	306
52	339	301
53	345	294
54	352	288
55	358	281
56	364	275
57	370	268
58	375	261
59	381	254
60	386	246
61	392	240
62	397	233
63	403	227
64	409	220
65	415	214
66	423	208
67	428	201
68	434	195
69	439	188
70	445	181
71	452	175
72	458	169
73	464	163
74	472	157
75	477	150
76	483	144
77	488	137
78	495	131
79	500	125
80	506	118
81	512	112
82	517	106
83	522	99
84	527	93
85	533	86
86	538	80
87	540	73
88	542	67
89	547	60
90	552	54
91	557	48
92	564	42
93	572	36
94	578	30
95	583	24
96	588	18
97	593	12
98	598	6
99	604	0
